1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,
-42,3,12,0.0,0.0,0.0,0.0,
-41,2,12,0.0,0.0,0.0,0.0,
-42,2,12,0.0,0.0,0.0,0.0,
-42,2,12,0.0,0.0,0.0,0.0,
-41,3,12,0.0,0.0,0.0,0.0,
-41,2,12,0.0,0.0,0.0,0.0,
-41,3,13,0.0,0.0,0.0,0.0,
-41,2,13,0.0,0.0,0.0,0.0,
-41,2,13,0.0,0.0,0.0,0.0,
-42,2,13,0.0,0.0,0.0,0.0,
-42,3,13,0.0,0.0,0.0,0.0,
-43,3,13,0.0,0.0,0.0,0.0,
-43,2,13,0.0,0.0,0.0,0.0,
-42,2,13,0.0,0.0,0.0,0.0,
-41,2,13,0.0,0.0,0.0,0.0,
-41,2,13,0.0,0.0,0.0,0.0,
-43,2,13,0.0,0.0,0.0,0.0,
-42,2,13,0.0,0.0,0.0,0.0,
-42,2,13,0.0,0.0,0.0,0.0,
-41,3,13,0.0,0.0,0.0,0.0,
-41,3,14,0.0,0.0,0.0,0.0,
-41,3,14,0.0,0.0,0.0,0.0,
-41,3,14,0.0,0.0,0.0,0.0,
-42,3,14,0.0,0.0,0.0,0.0,
-42,2,13,0.0,0.0,0.0,0.0,
-44,3,13,0.0,0.0,0.0,0.0,
-42,3,13,0.0,0.0,0.0,0.0,
-42,3,13,0.0,0.0,0.0,0.0,
-42,3,13,0.0,0.0,0.0,0.0,
-43,3,13,0.0,0.0,0.0,0.0,
-43,3,13,0.0,0.0,0.0,0.0,
-43,3,13,0.0,0.0,0.0,0.0,
-43,3,13,0.0,0.0,0.0,0.0,
-43,3,13,0.0,0.0,0.0,0.0,
-43,3,13,0.0,0.0,0.0,0.0,
-41,4,13,0.0,0.0,0.0,0.0,
-41,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-41,4,13,0.0,0.0,0.0,0.0,
-41,4,13,0.0,0.0,0.0,0.0,
-42,4,14,0.0,0.0,0.0,0.0,
-43,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-41,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-42,4,13,0.0,0.0,0.0,0.0,
-44,5,12,0.0,0.0,0.0,0.0,
-43,4,12,0.0,0.0,0.0,0.0,
-43,5,12,0.0,0.0,0.0,0.0,
-43,4,12,0.0,0.0,0.0,0.0,
-44,4,13,0.0,0.0,0.0,0.0,
-44,4,13,0.0,0.0,0.0,0.0,
-43,4,13,0.0,0.0,0.0,0.0,
-43,4,13,0.0,0.0,0.0,0.0,
-43,5,13,0.0,0.0,0.0,0.0,
-44,5,13,0.0,0.0,0.0,0.0,
-43,5,13,0.0,0.0,0.0,0.0,
-43,5,13,0.0,0.0,0.0,0.0,
-44,4,13,0.0,0.0,0.0,0.0,
-45,4,13,0.0,0.0,0.0,0.0,
-45,4,13,0.0,0.0,0.0,0.0,
-43,5,13,0.0,0.0,0.0,0.0,
-43,5,13,0.0,0.0,0.0,0.0,
-43,5,13,0.0,0.0,0.0,0.0,
-45,4,13,0.0,0.0,0.0,0.0,
-45,4,13,0.0,0.0,0.0,0.0,
-44,4,13,0.0,0.0,0.0,0.0,
-45,4,13,0.0,0.0,0.0,0.0,
-45,4,14,0.0,0.0,0.0,0.0,
-45,4,14,0.0,0.0,0.0,0.0,
-45,4,14,0.0,0.0,0.0,0.0,
-46,4,14,0.0,0.0,0.0,0.0,
-46,4,14,0.0,0.0,0.0,0.0,
-46,4,14,0.0,0.0,0.0,0.0,
-44,4,14,0.0,0.0,0.0,0.0,
-44,4,14,0.0,0.0,0.0,0.0,
-44,4,12,0.0,0.0,0.0,0.0,
-46,4,12,0.0,0.0,0.0,0.0,
-45,3,12,0.0,0.0,0.0,0.0,
-45,3,12,0.0,0.0,0.0,0.0,
-44,4,12,0.0,0.0,0.0,0.0,
-44,4,14,0.0,0.0,0.0,0.0,
-45,4,14,0.0,0.0,0.0,0.0,
-44,4,14,0.0,0.0,0.0,0.0,
-45,3,14,0.0,0.0,0.0,0.0,
-44,4,14,0.0,0.0,0.0,0.0,
-45,3,14,0.0,0.0,0.0,0.0,
-45,4,14,0.0,0.0,0.0,0.0,
-45,3,14,0.0,0.0,0.0,0.0,
-45,3,14,0.0,0.0,0.0,0.0,
-46,4,14,0.0,0.0,0.0,0.0,
-44,4,14,0.0,0.0,0.0,0.0,
-45,3,15,0.0,0.0,0.0,0.0,
-45,3,15,0.0,0.0,0.0,0.0,
-45,3,13,0.0,0.0,0.0,0.0,
-45,3,13,0.0,0.0,0.0,0.0,
-45,3,13,0.0,0.0,0.0,0.0,
-45,3,13,0.0,0.0,0.0,0.0,
-46,4,13,0.0,0.0,0.0,0.0,
-45,4,12,0.0,0.0,0.0,0.0,
-44,4,12,0.0,0.0,0.0,0.0,
-44,4,12,0.0,0.0,0.0,0.0,
-45,3,12,0.0,0.0,0.0,0.0,
-45,3,15,0.0,0.0,0.0,0.0,
-45,4,15,0.0,0.0,0.0,0.0,
-45,4,15,0.0,0.0,0.0,0.0,
-45,4,15,0.0,0.0,0.0,0.0,
-46,3,12,0.0,0.0,0.0,0.0,
-45,4,12,0.0,0.0,0.0,0.0,
-45,4,12,0.0,0.0,0.0,0.0,
-46,3,12,0.0,0.0,0.0,0.0,
-46,4,13,0.0,0.0,0.0,0.0,
-45,4,13,0.0,0.0,0.0,0.0,
-45,4,13,0.0,0.0,0.0,0.0,
-45,4,13,0.0,0.0,0.0,0.0,
-46,3,13,0.0,0.0,0.0,0.0,
-45,4,14,0.0,0.0,0.0,0.0,
-45,3,14,0.0,0.0,0.0,0.0,
-46,3,14,0.0,0.0,0.0,0.0,
-45,3,14,0.0,0.0,0.0,0.0,
-47,4,13,0.0,0.0,0.0,0.0,
-46,3,13,0.0,0.0,0.0,0.0,
-46,3,13,0.0,0.0,0.0,0.0,
-47,3,13,0.0,0.0,0.0,0.0,
-48,3,13,0.0,0.0,0.0,0.0,
-48,3,13,0.0,0.0,0.0,0.0,
-46,3,13,0.0,0.0,0.0,0.0,
-46,3,13,0.0,0.0,0.0,0.0,
-46,3,13,0.0,0.0,0.0,0.0,
-46,3,12,0.0,0.0,0.0,0.0,
-46,3,12,-46.0,3.0,13.0,36278.99609375,
-46,3,12,-46.0,3.0,13.0,36278.99609375,
-46,3,11,-46.0,3.0,13.0,36383.29296875,
-47,3,13,-46.0,3.0,13.0,36383.29296875,
-46,3,13,-46.0,3.0,13.0,36168.76953125,
-46,3,13,-46.0,3.0,13.0,36168.76953125,
-46,3,13,-46.0,3.0,14.0,36178.9140625,
-47,3,13,-46.0,3.0,14.0,36178.9140625,
-47,3,14,-46.0,3.0,16.0,36196.19921875,
-46,3,14,-46.0,3.0,16.0,36196.19921875,
-45,3,14,-46.0,3.0,20.0,36607.703125,
-45,3,15,-46.0,3.0,20.0,36607.703125,
-47,3,14,-46.0,3.0,25.0,37326.578125,
-45,3,14,-46.0,3.0,25.0,37326.578125,
-46,3,14,-46.0,3.0,32.0,38581.47265625,
-45,3,14,-46.0,3.0,32.0,38581.47265625,
-47,3,13,-46.0,3.0,42.0,40092.3359375,
-46,4,13,-46.0,3.0,42.0,40092.3359375,
-46,5,13,-46.0,3.0,54.0,42135.99609375,
-46,5,13,-46.0,3.0,54.0,42135.99609375,
-47,6,13,-46.0,3.0,68.0,44354.45703125,
-48,6,13,-46.0,3.0,68.0,44354.45703125,
-47,8,12,-46.0,3.0,84.0,46847.3203125,
-47,9,12,-46.0,3.0,84.0,46847.3203125,
-47,11,12,-46.0,3.0,102.0,49597.27734375,
-47,12,11,-46.0,3.0,102.0,49597.27734375,
-47,14,10,-46.0,3.0,122.0,52500.0,
-47,15,10,-46.0,3.0,122.0,52500.0,
-46,17,10,-46.0,3.0,142.0,52500.0,
-46,20,10,-46.0,3.0,142.0,52500.0,
-47,21,9,-46.0,3.0,162.0,52500.0,
-46,24,9,-46.0,3.0,162.0,52500.0,
-47,25,10,-46.0,3.0,183.0,52500.0,
-47,24,10,-46.0,3.0,183.0,52500.0,
-47,25,6,-46.0,3.0,203.0,52500.0,
-46,22,7,-46.0,3.0,203.0,52500.0,
-47,21,8,-46.0,3.0,221.0,52500.0,
-46,16,10,-46.0,3.0,221.0,52500.0,
-46,16,11,-46.0,3.0,238.0,52500.0,
-50,14,9,-46.0,3.0,238.0,52500.0,
-49,7,11,-46.0,3.0,253.0,52500.0,
-51,9,13,-46.0,3.0,253.0,52500.0,
-50,3,15,-46.0,3.0,266.0,52500.0,
-51,4,18,-46.0,3.0,266.0,52500.0,
-51,0,21,-46.0,3.0,277.0,52500.0,
-52,1,24,-46.0,3.0,277.0,52500.0,
-52,5,28,-46.0,3.0,285.0,52500.0,
-53,4,35,-46.0,3.0,285.0,52500.0,
-54,5,39,-46.0,3.0,291.0,52500.0,
-57,6,43,-46.0,3.0,291.0,52500.0,
-58,9,48,-46.0,3.0,295.0,52500.0,
-60,10,52,-46.0,3.0,295.0,52500.0,
-57,9,60,-46.0,3.0,298.0,52500.0,
-59,11,65,-46.0,3.0,298.0,52500.0,
-58,10,71,-46.0,3.0,299.0,52500.0,
-59,9,76,-46.0,3.0,299.0,52500.0,
-56,5,88,-46.0,3.0,299.0,52500.0,
-56,6,94,-46.0,3.0,299.0,52500.0,
-57,8,100,-46.0,3.0,299.0,52500.0,
-58,8,107,-46.0,3.0,299.0,52500.0,
-58,9,114,-46.0,3.0,299.0,49431.66015625,
-60,12,127,-46.0,3.0,299.0,49431.66015625,
-61,13,134,-46.0,3.0,299.0,45168.91796875,
-62,13,142,-46.0,3.0,299.0,45168.91796875,
-63,20,149,-46.0,3.0,299.0,41764.76953125,
-64,20,154,-46.0,3.0,299.0,41764.76953125,
-65,21,161,-46.0,3.0,299.0,39220.875,
-63,23,169,-46.0,3.0,299.0,39220.875,
-64,24,177,-46.0,3.0,299.0,36668.24609375,
-65,25,186,-46.0,3.0,299.0,36668.24609375,
-66,27,194,-46.0,3.0,299.0,34051.69921875,
-66,27,202,-46.0,3.0,299.0,34051.69921875,
-65,27,210,-46.0,3.0,299.0,31527.87890625,
-65,24,218,-46.0,3.0,299.0,31527.87890625,
-60,29,225,-46.0,3.0,299.0,29399.314453125,
-61,29,232,-46.0,3.0,299.0,29399.314453125,
-62,30,240,-46.0,3.0,299.0,27540.1953125,
-62,31,247,-46.0,3.0,299.0,27540.1953125,
-62,31,250,-46.0,3.0,299.0,26033.400390625,
-65,33,257,-46.0,3.0,299.0,26033.400390625,
-66,34,264,-46.0,3.0,299.0,25632.46875,
-66,35,270,-46.0,3.0,299.0,25632.46875,
-67,36,277,-46.0,3.0,299.0,25100.50390625,
-68,36,282,-46.0,3.0,299.0,25100.50390625,
-68,37,288,-46.0,3.0,299.0,24668.052734375,
-69,37,293,-46.0,3.0,299.0,24668.052734375,
-70,38,298,-46.0,3.0,299.0,24483.5859375,
-67,38,300,-46.0,3.0,299.0,24483.5859375,
-67,37,304,-46.0,3.0,299.0,24941.66796875,
-68,38,309,-46.0,3.0,299.0,24941.66796875,
-67,38,312,-46.0,3.0,299.0,25888.1640625,
-67,38,314,-46.0,3.0,299.0,25888.1640625,
-67,39,316,-46.0,3.0,299.0,26624.74609375,
-67,40,318,-46.0,3.0,299.0,26624.74609375,
-68,40,320,-46.0,3.0,299.0,27561.5,
-68,41,321,-46.0,3.0,299.0,27561.5,
-69,41,319,-46.0,3.0,299.0,29378.13671875,
-69,42,319,-46.0,3.0,299.0,29378.13671875,
-69,42,319,-46.0,3.0,299.0,31401.541015625,
-70,41,318,-46.0,3.0,299.0,31401.541015625,
-70,42,317,-46.0,3.0,299.0,33663.59765625,
-73,41,315,-46.0,3.0,299.0,33663.59765625,
-73,43,313,-46.0,3.0,299.0,35999.26171875,
-73,44,311,-46.0,3.0,299.0,35999.26171875,
-74,44,312,-46.0,3.0,299.0,38484.234375,
-74,43,309,-46.0,3.0,299.0,38484.234375,
