1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,controller.pitch,controller.roll,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,
62,-93,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
62,-95,8,0.0,0.0,0.0,0.0,0.0,
63,-95,8,0.0,0.0,0.0,0.0,0.0,
62,-95,9,0.0,0.0,0.0,0.0,0.0,
62,-95,9,0.0,0.0,0.0,0.0,0.0,
62,-95,9,0.0,0.0,0.0,0.0,0.0,
63,-94,10,0.0,0.0,0.0,0.0,0.0,
63,-94,10,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-94,9,0.0,0.0,0.0,0.0,0.0,
63,-94,9,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-93,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
64,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-93,8,0.0,0.0,0.0,0.0,0.0,
63,-94,8,0.0,0.0,0.0,0.0,0.0,
63,-93,7,0.0,0.0,0.0,0.0,0.0,
63,-94,6,0.0,0.0,0.0,0.0,0.0,
63,-94,6,0.0,0.0,0.0,0.0,0.0,
63,-94,6,0.0,0.0,0.0,0.0,0.0,
63,-94,7,0.0,0.0,0.0,0.0,0.0,
63,-93,7,0.35127052664756775,0.3969309329986572,63.0,-94.0,6.0,
63,-93,7,0.35127052664756775,0.3969309329986572,63.0,-94.0,6.0,
63,-94,7,0.17554382979869843,0.27314212918281555,63.0,-94.0,7.0,
63,-94,7,0.17554382979869843,0.27314212918281555,63.0,-94.0,7.0,
64,-92,7,0.42758455872535706,1.0212681293487549,63.0,-94.0,7.0,
64,-93,7,0.42758455872535706,1.0212681293487549,63.0,-94.0,7.0,
64,-92,7,0.2605224549770355,0.9522437453269958,63.0,-94.0,9.0,
63,-92,7,0.2605224549770355,0.9522437453269958,63.0,-94.0,9.0,
64,-92,8,0.1939130425453186,1.1957876682281494,63.0,-94.0,11.0,
63,-93,8,0.1939130425453186,1.1957876682281494,63.0,-94.0,11.0,
64,-92,8,0.12903252243995667,1.2744895219802856,63.0,-94.0,15.0,
63,-92,8,0.12903252243995667,1.2744895219802856,63.0,-94.0,15.0,
64,-92,8,0.07723169773817062,1.2265223264694214,63.0,-94.0,22.0,
64,-91,9,0.07723169773817062,1.2265223264694214,63.0,-94.0,22.0,
64,-91,9,0.07833217084407806,1.509621262550354,63.0,-94.0,30.0,
64,-91,9,0.07833217084407806,1.509621262550354,63.0,-94.0,30.0,
64,-91,9,0.23119312524795532,1.581491470336914,63.0,-94.0,41.0,
65,-91,8,0.23119312524795532,1.581491470336914,63.0,-94.0,41.0,
66,-91,8,0.1850796937942505,1.755279779434204,63.0,-94.0,54.0,
67,-90,8,0.1850796937942505,1.755279779434204,63.0,-94.0,54.0,
67,-89,8,0.975874125957489,2.0884642601013184,63.0,-94.0,70.0,
67,-89,7,0.975874125957489,2.0884642601013184,63.0,-94.0,70.0,
67,-88,7,1.1270053386688232,2.5217957496643066,63.0,-94.0,87.0,
67,-88,7,1.1270053386688232,2.5217957496643066,63.0,-94.0,87.0,
68,-87,7,1.016430139541626,2.8368189334869385,63.0,-94.0,106.0,
68,-86,7,1.016430139541626,2.8368189334869385,63.0,-94.0,106.0,
66,-84,5,0.9874967932701111,3.2706496715545654,63.0,-94.0,127.0,
66,-83,5,0.9874967932701111,3.2706496715545654,63.0,-94.0,127.0,
66,-82,5,0.17374801635742188,4.25772762298584,63.0,-94.0,147.0,
