1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,
543,2439,14,0.0,0.0,0.0,0.0,
544,2440,14,0.0,0.0,0.0,0.0,
544,2440,14,0.0,0.0,0.0,0.0,
544,2440,15,0.0,0.0,0.0,0.0,
544,2440,15,0.0,0.0,0.0,0.0,
544,2440,15,0.0,0.0,0.0,0.0,
544,2440,15,0.0,0.0,0.0,0.0,
544,2440,15,0.0,0.0,0.0,0.0,
544,2440,16,0.0,0.0,0.0,0.0,
544,2440,16,0.0,0.0,0.0,0.0,
544,2440,16,0.0,0.0,0.0,0.0,
544,2440,16,0.0,0.0,0.0,0.0,
544,2440,15,0.0,0.0,0.0,0.0,
544,2440,15,0.0,0.0,0.0,0.0,
544,2440,15,0.0,0.0,0.0,0.0,
545,2439,15,0.0,0.0,0.0,0.0,
545,2439,16,0.0,0.0,0.0,0.0,
545,2439,16,0.0,0.0,0.0,0.0,
545,2439,16,0.0,0.0,0.0,0.0,
545,2438,16,0.0,0.0,0.0,0.0,
545,2438,16,0.0,0.0,0.0,0.0,
545,2438,16,0.0,0.0,0.0,0.0,
545,2439,17,0.0,0.0,0.0,0.0,
545,2439,17,0.0,0.0,0.0,0.0,
545,2438,17,0.0,0.0,0.0,0.0,
545,2439,17,0.0,0.0,0.0,0.0,
545,2439,17,0.0,0.0,0.0,0.0,
545,2438,17,0.0,0.0,0.0,0.0,
545,2439,17,0.0,0.0,0.0,0.0,
545,2438,17,0.0,0.0,0.0,0.0,
545,2439,16,0.0,0.0,0.0,0.0,
545,2438,16,0.0,0.0,0.0,0.0,
545,2438,16,0.0,0.0,0.0,0.0,
545,2438,16,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
546,2438,15,0.0,0.0,0.0,0.0,
546,2438,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2439,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
545,2438,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
543,2439,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
544,2439,14,0.0,0.0,0.0,0.0,
543,2439,14,0.0,0.0,0.0,0.0,
543,2439,14,0.0,0.0,0.0,0.0,
544,2439,14,0.0,0.0,0.0,0.0,
544,2438,14,0.0,0.0,0.0,0.0,
543,2439,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
544,2439,15,0.0,0.0,0.0,0.0,
543,2439,14,0.0,0.0,0.0,0.0,
544,2439,14,0.0,0.0,0.0,0.0,
543,2438,14,0.0,0.0,0.0,0.0,
543,2439,14,0.0,0.0,0.0,0.0,
544,2439,14,0.0,0.0,0.0,0.0,
543,2439,13,0.0,0.0,0.0,0.0,
543,2439,13,0.0,0.0,0.0,0.0,
544,2439,13,0.0,0.0,0.0,0.0,
543,2439,13,0.0,0.0,0.0,0.0,
543,2439,15,0.0,0.0,0.0,0.0,
543,2438,15,0.0,0.0,0.0,0.0,
543,2439,15,0.0,0.0,0.0,0.0,
543,2439,15,0.0,0.0,0.0,0.0,
544,2438,15,0.0,0.0,0.0,0.0,
543,2438,15,0.0,0.0,0.0,0.0,
543,2438,15,0.0,0.0,0.0,0.0,
543,2438,15,0.0,0.0,0.0,0.0,
544,2437,15,0.0,0.0,0.0,0.0,
543,2438,16,0.0,0.0,0.0,0.0,
543,2438,16,0.0,0.0,0.0,0.0,
543,2438,16,0.0,0.0,0.0,0.0,
543,2438,16,543.0,2438.0,16.0,35740.6953125,
543,2438,15,543.0,2438.0,16.0,35972.45703125,
543,2438,15,543.0,2438.0,16.0,35969.3125,
543,2438,15,543.0,2438.0,16.0,35957.296875,
543,2438,15,543.0,2438.0,16.0,35965.0859375,
543,2437,15,543.0,2438.0,17.0,35958.5703125,
543,2438,15,543.0,2438.0,17.0,36109.06640625,
543,2437,15,543.0,2438.0,18.0,36142.91796875,
543,2438,15,543.0,2438.0,19.0,36179.40234375,
543,2438,15,543.0,2438.0,20.0,36242.38671875,
543,2438,15,543.0,2438.0,21.0,36350.86328125,
543,2437,15,543.0,2438.0,23.0,36477.01953125,
543,2437,15,543.0,2438.0,26.0,36648.69921875,
542,2437,15,543.0,2438.0,29.0,36815.35546875,
543,2438,14,543.0,2438.0,32.0,36957.88671875,
543,2436,14,543.0,2438.0,36.0,37226.1484375,
543,2437,14,543.0,2438.0,41.0,37441.94921875,
542,2437,14,543.0,2438.0,46.0,37686.0078125,
543,2436,14,543.0,2438.0,52.0,38108.66015625,
543,2437,14,543.0,2438.0,58.0,38456.51171875,
542,2437,14,543.0,2438.0,65.0,38778.4453125,
543,2437,14,543.0,2438.0,72.0,39084.84765625,
543,2437,14,543.0,2438.0,80.0,39573.609375,
543,2437,14,543.0,2438.0,89.0,40068.12109375,
542,2438,14,543.0,2438.0,98.0,40424.078125,
542,2437,14,543.0,2438.0,107.0,41023.25,
542,2438,14,543.0,2438.0,116.0,41473.7109375,
542,2438,14,543.0,2438.0,126.0,42048.0234375,
541,2439,13,543.0,2438.0,136.0,42740.47265625,
541,2441,13,543.0,2438.0,146.0,43137.48046875,
542,2441,13,543.0,2438.0,156.0,43586.55078125,
542,2442,13,543.0,2438.0,166.0,44148.4375,
542,2443,12,543.0,2438.0,176.0,44867.22265625,
542,2445,12,543.0,2438.0,186.0,45444.2265625,
542,2445,12,543.0,2438.0,196.0,45859.06640625,
542,2447,12,543.0,2438.0,206.0,46140.3359375,
541,2448,12,543.0,2438.0,215.0,46319.8046875,
541,2450,9,543.0,2438.0,224.0,47256.046875,
541,2451,9,543.0,2438.0,233.0,47453.64453125,
540,2452,9,543.0,2438.0,241.0,47606.56640625,
540,2454,10,543.0,2438.0,248.0,47745.53515625,
539,2455,6,543.0,2438.0,255.0,48514.3671875,
538,2456,7,543.0,2438.0,262.0,48468.8046875,
539,2455,8,543.0,2438.0,268.0,48341.83984375,
539,2455,9,543.0,2438.0,273.0,48180.7890625,
539,2455,6,543.0,2438.0,278.0,48829.77734375,
537,2460,7,543.0,2438.0,282.0,48747.4765625,
539,2462,8,543.0,2438.0,286.0,48619.3203125,
539,2462,10,543.0,2438.0,289.0,48478.03125,
541,2461,11,543.0,2438.0,292.0,48295.4765625,
541,2462,14,543.0,2438.0,294.0,47844.48046875,
539,2460,16,543.0,2438.0,295.0,47419.3671875,
544,2458,18,543.0,2438.0,297.0,46975.921875,
544,2458,20,543.0,2438.0,298.0,46509.58984375,
541,2458,24,543.0,2438.0,298.0,45803.17578125,
540,2455,27,543.0,2438.0,299.0,45402.83203125,
540,2454,30,543.0,2438.0,299.0,45034.00390625,
544,2455,33,543.0,2438.0,299.0,44607.68359375,
544,2455,36,543.0,2438.0,299.0,44166.83203125,
544,2457,43,543.0,2438.0,299.0,43136.32421875,
547,2453,46,543.0,2438.0,300.0,42763.86328125,
548,2454,50,543.0,2438.0,300.0,42383.81640625,
549,2454,54,543.0,2438.0,300.0,42084.8828125,
548,2455,65,543.0,2438.0,300.0,40470.05078125,
552,2450,69,543.0,2438.0,300.0,40338.46875,
553,2449,73,543.0,2438.0,300.0,40159.375,
553,2449,78,543.0,2438.0,300.0,40045.3125,
