1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,controller.pitch,controller.roll,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,
0,2,6,0.0,0.0,0.0,0.0,0.0,
-1,2,6,0.0,0.0,0.0,0.0,0.0,
-1,2,6,0.0,0.0,0.0,0.0,0.0,
-1,2,5,0.0,0.0,0.0,0.0,0.0,
-1,2,5,0.0,0.0,0.0,0.0,0.0,
-1,2,5,0.0,0.0,0.0,0.0,0.0,
-1,2,5,0.0,0.0,0.0,0.0,0.0,
-1,2,5,0.0,0.0,0.0,0.0,0.0,
-1,2,6,0.0,0.0,0.0,0.0,0.0,
-1,2,6,0.0,0.0,0.0,0.0,0.0,
-1,2,6,0.0,0.0,0.0,0.0,0.0,
-1,2,6,0.0,0.0,0.0,0.0,0.0,
-1,2,7,0.0,0.0,0.0,0.0,0.0,
0,3,7,0.0,0.0,0.0,0.0,0.0,
-1,3,7,0.0,0.0,0.0,0.0,0.0,
-1,3,7,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,3,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
0,2,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,6,0.0,0.0,0.0,0.0,0.0,
1,3,6,0.0,0.0,0.0,0.0,0.0,
0,3,6,0.0,0.0,0.0,0.0,0.0,
0,3,6,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,4,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,6,0.0,0.0,0.0,0.0,0.0,
1,3,6,0.0,0.0,0.0,0.0,0.0,
1,3,6,0.0,0.0,0.0,0.0,0.0,
1,3,6,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,4,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,3,4,0.0,0.0,0.0,0.0,0.0,
1,4,3,0.0,0.0,0.0,0.0,0.0,
1,3,3,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
1,3,5,0.0,0.0,0.0,0.0,0.0,
0,4,5,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,7,0.0,0.0,0.0,0.0,0.0,
0,4,7,0.0,0.0,0.0,0.0,0.0,
0,4,7,0.0,0.0,0.0,0.0,0.0,
0,4,7,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
0,4,6,0.0,0.0,0.0,0.0,0.0,
2,4,6,0.0,0.0,0.0,0.0,0.0,
2,5,6,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
2,4,7,0.0,0.0,0.0,0.0,0.0,
