1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,debug.error,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,10,0.0,0.0,0.0,0.0,0.0,
22,-44,10,0.0,0.0,0.0,0.0,0.0,
22,-44,10,0.0,0.0,0.0,0.0,0.0,
22,-44,10,0.0,0.0,0.0,0.0,0.0,
22,-44,10,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-44,13,0.0,0.0,0.0,0.0,0.0,
22,-44,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,14,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-43,13,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-44,12,0.0,0.0,0.0,0.0,0.0,
22,-44,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,11,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
22,-43,12,0.0,0.0,0.0,0.0,0.0,
